school_id,school_year,standardized_school_name,original_school_name,year_school_opened,is_elementary_school,is_middle_school,is_high_school,is_other_school,admission_type,governance,serves_grade_k,serves_grade_1,serves_grade_2,serves_grade_3,serves_grade_4,serves_grade_5,serves_grade_6,serves_grade_7,serves_grade_8,serves_grade_9,serves_grade_10,serves_grade_11,serves_grade_12,that_col
4530,2024-2025,Edward Gideon School,Edward Gideon School,1952,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
4560,2024-2025,William D. Kelley School,William D. Kelley School,1965,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
4570,2024-2025,General George G. Meade School,General George G. Meade School,1937,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
5020,2024-2025,Thomas A. Edison High School,Thomas A. Edison High School,1985,0,0,1,0,Catchment,District,0,0,0,0,0,0,0,0,0,1,1,1,1,
5033,2024-2025,Student Transition Center,Student Transition Center,2023,0,0,0,1,Alternative,District,0,1,1,1,1,1,1,1,1,1,1,1,1,
5050,2024-2025,Philadelphia Military Academy,Philadelphia Military Academy,2005,0,0,1,0,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1,
5060,2024-2025,Jules E. Mastbaum Area Vocational Technical High School,Jules E. Mastbaum Area Vocational Technical High School,1929,0,0,1,0,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1,
5070,2024-2025,Parkway Northwest High School,Parkway Northwest High School,1960,0,0,1,0,Criteria-Based,District,0,0,0,0,0,0,0,0,0,1,1,1,1,
5080,2024-2025,Parkway Center City Middle College High School,Parkway Center City Middle College High School,2005,0,0,1,0,Criteria-Based,District,0,0,0,0,0,0,0,0,0,1,1,1,1,
5090,2024-2025,Parkway West High School,Parkway West High School,2004,0,0,1,0,Criteria-Based,District,0,0,0,0,0,0,0,0,0,1,1,1,1,
5150,2024-2025,William W. Bodine School,William W. Bodine School,1935,0,0,1,0,Criteria-Based,District,0,0,0,0,0,0,0,0,0,1,1,1,1,
5160,2024-2025,Penn Treaty School,Penn Treaty School,2013,0,1,1,0,Catchment,District,0,0,0,0,0,0,1,1,1,1,1,1,1,
5170,2024-2025,Julia de Burgos School,Julia de Burgos School,1903,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
5180,2024-2025,Vaux High School,Vaux High School,2017,0,0,1,0,Catchment,District,0,0,0,0,0,0,0,0,0,1,1,1,1,
5200,2024-2025,Alexander Adaire School,Alexander Adaire School,1957,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
