school_id,school_year,standardized_school_name,original_school_name,year_school_opened,is_elementary_school,is_middle_school,is_high_school,is_other_school,admission_type,governance,serves_grade_k,serves_grade_1,serves_grade_2,serves_grade_3,serves_grade_4,serves_grade_5,serves_grade_6,serves_grade_7,serves_grade_8,serves_grade_9,serves_grade_10,serves_grade_11,serves_grade_12
3820,2019-2020,Camelot Academy East,Camelot Academy East,2016,0,1,1,0,Alternative,Contracted,0,0,0,0,0,0,0,1,1,1,1,1,1
3840,2019-2020,Philadelphia OIC Workforce Academy,Philadelphia OIC Workforce Academy,2017,0,0,1,0,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1
3850,2019-2020,Northeast High School EOP,Northeast High School EOP,2016,0,0,1,0,Alternative,District,0,0,0,0,0,0,0,0,0,1,1,1,1
3880,2019-2020,South Philadelphia High School EOP,South Philadelphia High School EOP,2008,0,0,1,0,Alternative,District,0,0,0,0,0,0,0,0,0,1,1,1,1
4020,2019-2020,Overbrook High School,Overbrook High School,1926,0,0,1,0,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1
4030,2019-2020,High School of Engineering and Science,High School of Engineering and Science,1949,0,1,1,0,Special Admit,District,0,0,0,0,0,0,0,1,1,1,1,1,1
4060,2019-2020,Murrell Dobbins Career and Technical High School,Murrell Dobbins Career and Technical High School,1938,0,0,1,0,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1
4140,2019-2020,Strawberry Mansion High School,Strawberry Mansion High School,1964,0,0,1,0,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,0,1,1
4220,2019-2020,James G. Blaine School,James G. Blaine School,1966,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
4240,2019-2020,Lewis C. Cassidy Academics Plus School,Lewis C. Cassidy Academics Plus School,1924,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
4270,2019-2020,William Dick School,William Dick School,1954,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
4280,2019-2020,Samuel Gompers School,Samuel Gompers School,1968,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
4300,2019-2020,Edward Heston School,Edward Heston School,1970,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
4320,2019-2020,Robert E. Lamberton School,Robert E. Lamberton School,1949,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
