school_id,school_year,standardized_school_name,original_school_name,year_school_opened,is_elementary_school,is_middle_school,is_high_school,is_other_school,admission_type,governance,serves_grade_k,this_col,serves_grade_1,serves_grade_2,serves_grade_3,serves_grade_4,serves_grade_5,serves_grade_6,serves_grade_7,serves_grade_8,serves_grade_9,serves_grade_10,serves_grade_11,serves_grade_12
5090,2022-2023,Parkway West High School,Parkway West High School,2004,0,0,1,0,Special Admit,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
5150,2022-2023,William W. Bodine High School,William W. Bodine High School,1935,0,0,1,0,Special Admit,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
5160,2022-2023,Penn Treaty High School,Penn Treaty High School,2013,0,1,1,0,Neighborhood,District,0,,0,0,0,0,0,1,1,1,1,1,1,1
5170,2022-2023,Julia de Burgos School,Julia de Burgos School,1903,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
5180,2022-2023,Vaux High School: A Big Picture,Vaux High School: A Big Picture,2017,0,0,1,0,Neighborhood,District,0,,0,0,0,0,0,0,0,0,1,1,1,0
5200,2022-2023,Alexander Adaire School,Alexander Adaire School,1957,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
5210,2022-2023,Henry A. Brown School,Henry A. Brown School,1959,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
5230,2022-2023,Russell H. Conwell School,Russell H. Conwell School,1926,0,1,0,0,Special Admit,District,0,,0,0,0,0,1,1,1,1,0,0,0,0
5250,2022-2023,Paul L. Dunbar School,Paul L. Dunbar School,1932,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
5260,2022-2023,Lewis Elkin School,Lewis Elkin School,1973,1,0,0,0,Neighborhood,District,1,,1,1,1,1,0,0,0,0,0,0,0,0
5300,2022-2023,Horatio B. Hackett School,Horatio B. Hackett School,1969,1,0,0,0,Neighborhood,District,1,,1,1,1,1,1,0,0,0,0,0,0,0
5320,2022-2023,John F. Hartranft School,John F. Hartranft School,1968,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
5330,2022-2023,William H. Hunter School,William H. Hunter School,1909,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
5340,2022-2023,James R. Ludlow School,James R. Ludlow School,1927,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
5350,2022-2023,William McKinley School,William McKinley School,1970,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
5370,2022-2023,John Moffet School,John Moffet School,1973,1,0,0,0,Neighborhood,District,1,,1,1,1,1,1,0,0,0,0,0,0,0
5390,2022-2023,Potter-Thomas School,Potter-Thomas School,1967,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
5400,2022-2023,Richmond School,Richmond School,1929,1,0,0,0,Neighborhood,District,1,,1,1,1,1,1,0,0,0,0,0,0,0
5410,2022-2023,Isaac A. Sheppard School,Isaac A. Sheppard School,1898,1,0,0,0,Neighborhood,District,1,,1,1,1,1,0,0,0,0,0,0,0,0
5420,2022-2023,John Welsh School,John Welsh School,1966,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
5430,2022-2023,Alternative Middle Years at James Martin,Alternative Middle Years at James Martin,1985,0,1,0,0,Citywide,District,0,,0,0,0,0,0,1,1,1,0,0,0,0
5440,2022-2023,Frances E. Willard School,Frances E. Willard School,1907,1,0,0,0,Neighborhood,District,1,,1,1,1,1,0,0,0,0,0,0,0,0
5470,2022-2023,William Cramp School,William Cramp School,1969,1,0,0,0,Neighborhood,District,1,,1,1,1,1,1,0,0,0,0,0,0,0
5480,2022-2023,General Philip Kearny School,General Philip Kearny School,1898,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
5490,2022-2023,Cayuga School,Cayuga School,1950,1,0,0,0,Neighborhood,District,1,,1,1,1,1,1,0,0,0,0,0,0,0
5500,2022-2023,Thurgood Marshall School,Thurgood Marshall School,1997,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
5520,2022-2023,Kensington High School for Creative and Performing Arts,Kensington High School for Creative and Performing Arts,2005,0,0,1,0,Neighborhood,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
5530,2022-2023,Gloria Casarez Elementary School,Gloria Casarez Elementary School,1899,1,0,0,0,Neighborhood,District,1,,1,1,1,1,1,0,0,0,0,0,0,0
5550,2022-2023,Kensington Health Sciences Academy,Kensington Health Sciences Academy,2001,0,0,1,0,Neighborhood,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
5560,2022-2023,Spring Garden School,Spring Garden School,1928,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
5580,2022-2023,"Stetson, John B. Middle School","Stetson, John B. Middle School",2022,0,1,0,0,Neighborhood,District,0,,0,0,0,0,1,1,1,1,0,0,0,0
5581,2022-2023,Stetson Middle School Continuation Academy,Stetson Middle School Continuation Academy,2022,0,0,0,1,Alternative,Contracted,0,,0,0,0,0,1,1,1,1,0,0,0,0
5590,2022-2023,John H. Webster School,John H. Webster School,1968,1,0,0,0,Neighborhood,District,1,,1,1,1,1,1,0,0,0,0,0,0,0
5610,2022-2023,Building 21,Building 21,2014,0,0,1,0,Citywide,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
5620,2022-2023,The U School,The U School,2014,0,0,1,0,Citywide,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
5660,2022-2023,The LINC,The LINC,2014,0,0,1,0,Citywide,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
5680,2022-2023,Honorable Luis Munoz-Marin School,Honorable Luis Munoz-Marin School,1997,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
5700,2022-2023,Kensington High School,Kensington High School,2016,0,0,1,0,Neighborhood,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
6010,2022-2023,Central High School,Central High School,1939,0,0,1,0,Special Admit,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
6030,2022-2023,Roxborough High School,Roxborough High School,1924,0,0,1,0,Neighborhood,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
6040,2022-2023,Walter B. Saul High School,Walter B. Saul High School,1950,0,0,1,0,Special Admit,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
6050,2022-2023,Philadelphia High School for Girls,Philadelphia High School for Girls,1956,0,0,1,0,Special Admit,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
6060,2022-2023,Martin Luther King High School,Martin Luther King High School,1972,0,0,1,0,Neighborhood,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
6090,2022-2023,A. Philip Randolph Career and Technical High School,A. Philip Randolph Career and Technical High School,2004,0,0,1,0,Citywide,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
6200,2022-2023,Anna B. Day School,Anna B. Day School,1952,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
6210,2022-2023,Franklin S. Edmonds School,Franklin S. Edmonds School,1948,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
6220,2022-2023,Eleanor C. Emlen School,Eleanor C. Emlen School,1926,1,0,0,0,Neighborhood,District,1,,1,1,1,1,1,0,0,0,0,0,0,0
6230,2022-2023,Fitler Academics Plus School,Fitler Academics Plus School,1898,1,1,0,0,Citywide,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
6250,2022-2023,Charles W. Henry School,Charles W. Henry School,1908,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
6260,2022-2023,Henry H. Houston School,Henry H. Houston School,1927,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
6270,2022-2023,Jenks Academy for Arts and Sciences,Jenks Academy for Arts and Sciences,1924,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
6300,2022-2023,James Logan School,James Logan School,1924,1,0,0,0,Neighborhood,District,1,,1,1,1,1,1,0,0,0,0,0,0,0
6310,2022-2023,John F. McCloskey School,John F. McCloskey School,1956,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
6320,2022-2023,Thomas Mifflin School,Thomas Mifflin School,1937,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
